,Model,F1,Recall,Precision,Accuracy
0,XGBoost CV,0.5838246640284066,0.48234222650808956,0.7440889575845329,0.8604
0,Random Forest Validated,0.5755102040816326,0.46078431372549017,0.7663043478260869,0.8613333333333333
0,Random Forest CV,0.580528563620339,0.4725168756027,0.756289051065107,0.8613333333333333
0,Tuned Decision Tree,0.5606550690451619,0.46925533054751956,0.7016083898068596,0.8503999999999999
0,Decision tree,0.494,0.503,0.486,0.790
0,Naive Bayes ,0.433,0.336,0.609,0.821
